CODIGO,APELLIDOS_NOMBRES,OPCION1,OPCION2,MODALIDAD,DNI,SEXO,ESTADO_ACADEMICO,NOTA_AC,NOTA_CO
2025001,GARCIA LOPEZ JUAN CARLOS,INGENIERÍA DE SISTEMAS E INFORMÁTICA,MEDICINA HUMANA,ORDINARIO,12345678,M,POSTULANTE,16.5,17.2
2025002,RODRIGUEZ PEREZ MARIA ELENA,MEDICINA HUMANA,ENFERMERÍA,ORDINARIO,23456789,F,POSTULANTE,18.3,17.8
2025003,MARTINEZ SILVA CARLOS EDUARDO,INGENIERÍA CIVIL,ADMINISTRACIÓN,ORDINARIO,34567890,M,ALUMNO_LIBRE,15.2,16.1
2025004,TORRES MENDOZA ANA LUCIA,PSICOLOGÍA,DERECHO Y CIENCIAS POLÍTICAS,EXONERADO,45678901,F,POSTULANTE,17.5,18.0
2025005,GOMEZ CASTRO LUIS FERNANDO,CONTABILIDAD,ECONOMÍA,ORDINARIO,56789012,M,POSTULANTE,14.8,15.3
2025006,VARGAS RIOS SOFIA ALEXANDRA,ADMINISTRACIÓN,CONTABILIDAD,BECA 18,67890123,F,ALUMNO_LIBRE,16.9,17.4
2025007,MORALES VEGA DIEGO SEBASTIAN,INGENIERÍA INDUSTRIAL,INGENIERÍA DE SISTEMAS E INFORMÁTICA,ORDINARIO,78901234,M,POSTULANTE,15.7,16.2
2025008,HERRERA FLORES VALERIA NICOLE,ENFERMERÍA,MEDICINA HUMANA,ORDINARIO,89012345,F,POSTULANTE,17.1,17.6
2025009,JIMENEZ RAMOS MIGUEL ANGEL,DERECHO Y CIENCIAS POLÍTICAS,PSICOLOGÍA,ORDINARIO,90123456,M,ALUMNO_LIBRE,14.3,15.8
2025010,SANTOS CRUZ ISABELLA MARIA,ECONOMÍA,ADMINISTRACIÓN,EXONERADO,01234567,F,POSTULANTE,18.7,18.2
